measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,New Zealand,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,1197.6174947905947,1306.040953452208,1099.835646275135
Deaths,Slovenia,Both,All ages,Police conflict and executions,Number,1980,0.006592370253104246,0.010173781086273872,0.004667234088076013
Deaths,Australia,Both,All ages,Police conflict and executions,Number,1980,2.1089366230674185,3.3927650706247703,1.2667289473058285
Deaths,Slovenia,Both,All ages,Road injuries,Number,1980,425.631756514377,455.09234430289376,403.26033200918505
Deaths,Slovenia,Both,All ages,Motor vehicle road injuries,Number,1980,207.25626029504545,225.40365569768525,192.62441773943104
Deaths,Turkey,Both,All ages,Alcohol use disorders,Number,1980,101.62832828930026,152.2884726772915,52.66409971992848
Deaths,Turkey,Both,All ages,Opioid use disorders,Number,1980,87.17287805699556,125.07369374123328,64.10571465248509
Deaths,Italy,Both,All ages,Alcohol use disorders,Number,1980,397.8183232902284,410.26970673829055,386.07306511986724
Deaths,Italy,Both,All ages,Opioid use disorders,Number,1980,200.62914170812968,221.6094807827043,180.49078282653022
Deaths,Italy,Both,All ages,Self-harm,Number,1980,4289.766859698808,4440.726294900014,4144.290563689317
Deaths,Italy,Both,All ages,Diabetes mellitus,Number,1980,15854.890099280185,16553.35680393624,14872.56703040278
Deaths,Estonia,Both,All ages,Road injuries,Number,1980,324.8704285588945,342.93982014174856,305.9395687674769
Deaths,Estonia,Both,All ages,Motor vehicle road injuries,Number,1980,112.93669557524841,121.57470287703063,104.96910572910501
Deaths,Turkey,Both,All ages,Road injuries,Number,1980,10204.867985439467,12146.328869538569,8541.77591275684
Deaths,Netherlands,Both,All ages,Alcohol use disorders,Number,1980,130.3871035299636,136.65395176264067,124.19395454812776
Deaths,Netherlands,Both,All ages,Opioid use disorders,Number,1980,44.14058999552334,50.61669652827715,37.582652070821084
Deaths,Netherlands,Both,All ages,Diabetes mellitus,Number,1980,1552.1352966607417,1656.0587961779327,1426.7510040099341
Deaths,Hungary,Both,All ages,Cardiovascular diseases,Number,1980,74486.82660042704,76829.20083666223,71710.05581845867
Deaths,New Zealand,Both,All ages,Diabetes mellitus,Number,1980,431.7656474452158,460.60262447645385,402.2738834619423
Deaths,Slovenia,Both,All ages,Self-harm,Number,1980,697.0248955960251,739.0353613013187,652.1677297665271
Deaths,Italy,Both,All ages,Police conflict and executions,Number,1980,2.076738875313922,3.0096386537755904,1.5704240955976545
Deaths,Hungary,Both,All ages,Road injuries,Number,1980,1888.22468323718,1962.6945708985668,1820.7329156665007
Deaths,Turkey,Both,All ages,Diabetes mellitus,Number,1980,7314.341010242821,8957.381217963522,6156.562383919604
Deaths,Turkey,Both,All ages,Self-harm,Number,1980,1776.535316216459,2592.917696963866,1097.767104039529
Deaths,Austria,Both,All ages,Self-harm,Number,1980,2085.0442206213224,2176.667146310734,2003.4056460726579
Deaths,Estonia,Both,All ages,Cardiovascular diseases,Number,1980,10666.804460948848,11044.378982442968,10119.266527318798
Deaths,Hungary,Both,All ages,Motor vehicle road injuries,Number,1980,564.1954179058704,592.8247823690568,540.4432965187578
Deaths,Turkey,Both,All ages,Liver cancer due to alcohol use,Number,1980,84.06774400240418,141.26135249741716,48.286413899161005
Deaths,Turkey,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,12152.198987945741,16033.479228756936,8924.268079368838
Deaths,Latvia,Both,All ages,Liver cancer due to alcohol use,Number,1980,23.72028222582328,30.816462440365466,17.552415054458663
Deaths,Latvia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,1036.2179550757712,1139.2331479235436,944.8825322585762
Deaths,Australia,Both,All ages,Self-harm,Number,1980,1746.6998034163848,1824.1315094968297,1663.5964287735308
Deaths,Netherlands,Both,All ages,Self-harm,Number,1980,1677.4635870180732,1741.0781371923417,1616.0152211081556
Deaths,Norway,Both,All ages,Cardiovascular diseases,Number,1980,20617.848639741052,21349.609411374753,19190.26697957557
Deaths,New Zealand,Both,All ages,Police conflict and executions,Number,1980,0.005634210171548103,0.010122267302046439,0.0033073274876600023
