country name,country code,year,adjusted savings: education expenditure (current us$),current health expenditure (% of gdp),domestic credit to private sector (% of gdp),gdp (constant 2015 us$),labor force with advanced education (% of total working-age population with advanced education),labor force with intermediate education (% of total working-age population with intermediate education),labor force with basic education (% of total working-age population with basic education),market capitalization of listed domestic companies (% of gdp),military expenditure (% of gdp),out-of-pocket expenditure (% of current health expenditure),research and development expenditure (% of gdp),"stocks traded, total value (% of gdp)"
Sweden,SWE,1987,9721619667.84433,,39.1456295455604,278932704065.054,,,,38.45547187250464,2.65329051466664,,,10.703479978711432
Sweden,SWE,1988,10783923234.4301,,45.8868182667055,286070699812.6521,,,,48.15535601047451,2.58528674880736,,,9.01589440239402
Sweden,SWE,1989,10479135067.2416,,50.1958949283595,293665324567.97003,,,,54.709668050566606,2.5088339222614797,,,8.274622333427864
Sweden,SWE,1990,12771237801.5814,,51.0484715476307,295881542676.8081,,,,35.14075893907705,2.5689803154591897,,,5.982596015947336
Sweden,SWE,1991,14083245650.1034,,47.3589580164548,292490814556.96313,,,,35.39205840971722,2.45430639025377,,,7.488156770686611
Sweden,SWE,1992,13875206778.9072,,47.3660536048259,289102037155.61127,,,,27.461650126373865,2.44419307170226,,,10.006361975788987
Sweden,SWE,1993,10737249531.0533,,38.093974000619,283130298151.2495,,,,47.19818980549635,2.38683434804186,,,19.068919346654994
Sweden,SWE,1994,17633525653.9762,,34.2389726706816,294257241961.3925,,,,52.070961371598266,2.2799385244374504,,,38.63498757315857
Sweden,SWE,1995,20980058136.3248,,31.2948106565386,305836832131.4896,86.558,82.138,51.474,64.5516376441244,2.15896881665563,,,37.15732768798384
Sweden,SWE,1996,23528299198.292,,31.8545885013244,310667391570.0248,88.596,83.715,64.769,82.39498851890737,2.14090775518102,,,44.72057156029797
Sweden,SWE,1997,21004922964.3503,,34.7321724697634,320206516443.8492,82.294,76.547,48.938,98.71860373683184,1.95327692368964,,3.27394008636475,56.99273811438555
Sweden,SWE,1998,19122505796.2332,,35.8432908093947,334013297425.3911,80.928,75.915,50.046,102.91650250605578,1.87262378757035,,,73.7674009126738
Sweden,SWE,1999,18770464018.0403,,37.4658091388186,348199457231.41,81.922,76.743,49.739,136.19683935395722,1.89088507253778,,3.38131999969482,78.38041719730765
Sweden,SWE,2000,17715503811.3335,7.33,39.8102527623891,364795858131.68384,80.715,76.037,49.746,124.92189868027378,1.83267304982489,14.46,,144.21968334261433
Sweden,SWE,2001,16040884937.7649,7.9,89.5850956961263,370083569053.71375,82.194,78.014,51.868,97.5736125705597,1.71274737307638,16.88,3.87380003929138,123.71431149256848
Sweden,SWE,2002,17305758102.0655,8.21,89.8043795586437,378214012929.9022,82.659,77.853,51.015,67.12310276373033,1.6411545404720802,16.51,,69.54010582742185
Sweden,SWE,2003,21489082732.6064,8.32,89.8403248172496,386950040254.6621,83.726,77.75,50.143,86.70202697052875,1.59678996943608,15.88,3.57947993278503,59.35223262220687
Sweden,SWE,2004,25909942413.1503,8.13,91.498780648959,403731506887.75104,83.333,77.715,48.857,,1.44128335992893,16.28,3.36128997802734,80.44297173833314
Sweden,SWE,2005,25722065889.6576,8.15,99.1359854797797,415273396287.1657,84.083,78.299,49.454,,1.40698751486224,16.64,3.35958003997803,
Sweden,SWE,2006,25870828277.8998,8.05,102.587270651459,434636654376.7029,83.171,79.032,48.939,,1.31820552345733,16.54,3.47499990463257,
Sweden,SWE,2007,28840112593.9516,8.0,110.979442082862,449584772840.5071,83.756,79.166,48.62,,1.29998150757256,16.34,3.23382997512817,
Sweden,SWE,2008,31330246544.5828,8.21,117.709970509221,447559127029.5656,84.067,79.365,47.773,,1.16374723679633,16.33,3.46999001502991,
