location,year,Alcohol use disorders,Cardiovascular diseases,Diabetes mellitus,Liver cancer due to alcohol use,Motor vehicle road injuries,Opioid use disorders,Police conflict and executions,Road injuries,Self-harm,"Tracheal, bronchus, and lung cancer"
Lithuania,1990,559.4615093218904,21557.17493411997,182.07197404146908,31.885013172293085,335.6233858317126,45.72836286898396,0.0081964877251718,1171.6326317260714,1111.3107374827885,1532.3676412572115
Lithuania,1991,666.6779253080174,22431.55638046344,211.83316277413545,33.79629374939295,369.8538741111255,50.241371915197725,0.0089526925573928,1250.4436659719818,1228.6860546251223,1636.6232286774418
Lithuania,1992,765.4170932498031,22252.118404409004,215.14778744483837,33.17420601728945,327.8283693940012,51.96936195155365,0.0097899893912376,1076.9963363429956,1362.9150026990585,1569.1299149288027
Lithuania,1993,1054.6014767598776,24580.334403028264,234.9658674323973,36.64949219732656,344.6749174276726,59.30730342608853,0.0108167805255488,1099.7704935687748,1644.0069841055115,1641.3100603342143
Lithuania,1994,1366.1813544551712,25028.63458146995,241.05345861276732,40.35242985370437,296.89563879965345,65.89898963910262,0.0122212526073669,949.6849030399572,1829.6541261659736,1658.2142912241004
Lithuania,1995,1413.582767518262,24186.53389444945,244.05278644788635,44.75999100107894,273.7891275396647,65.57710875967271,0.0193771424498569,880.0544168662826,1856.918452586504,1638.7720712730884
Lithuania,1996,1172.8949837498044,22787.27807775028,234.98107568260633,44.34699665854238,275.7625861700272,62.48155115976994,0.0114651773893944,804.2408954013508,1814.3829927032084,1568.0364980238232
Lithuania,1997,857.6916352365217,21712.4794086917,222.29201757357947,41.640802461477165,290.2402537496162,59.935045859561754,0.0116549445317584,794.7480872552462,1731.971737121236,1511.205675290393
Lithuania,1998,662.4682980340741,21580.915131232385,223.8356817695129,44.29941129748074,341.9969141677315,60.85388765262616,0.0159240212197971,831.5520172942112,1695.7695345348168,1551.2876144554398
Lithuania,1999,520.5575448108494,20951.3423826183,206.3442557392994,42.0627820550512,331.89114093833155,60.24028906701721,0.0122466619775237,789.1218674345234,1671.4456264658031,1528.8101329170008
Lithuania,2000,504.018359116788,20459.45035354161,199.85656770902168,42.473429181497586,306.6237828726872,62.0761034823251,0.0122428782815595,749.2761746362265,1682.272131680749,1508.8585293050469
Lithuania,2001,567.1815316569154,21525.479285834797,198.96442570873364,43.09626153335291,332.2009571315906,65.34357230945228,0.0139971752197216,798.6611614891233,1675.2146389859336,1552.1469097300158
Lithuania,2002,561.1672139407484,21473.22838158361,198.71603986709928,43.768316963343935,340.031199453469,64.50135670015658,0.009300094403527,785.1050582630149,1615.4762714945966,1530.7713133953064
Lithuania,2003,576.3031418061322,21800.888691830856,196.8842410823007,46.60681945283459,356.09907526408057,69.59966430589121,0.0072458536912766,804.1077824518928,1553.4138633029302,1516.4984320680785
Lithuania,2004,579.9409102613879,21889.381421174956,202.251055262622,47.65516364939266,357.93154083954323,75.09225209379527,0.0064449260831336,803.1920172736621,1474.894801330024,1481.1831146748195
Lithuania,2005,615.1508157383379,23365.410352571256,222.7787759479935,50.82155509537025,390.76119131519846,87.55121581081082,0.0060782313537302,826.33276320054,1458.408433063467,1533.3166369484622
Lithuania,2006,636.558799892959,23947.025438155397,223.36083889042575,54.87205841943978,415.0129057194653,97.68051571556532,0.0062936515373772,815.846381323945,1346.9650997711942,1579.0233797635951
Lithuania,2007,643.484392910931,24403.822260997174,224.95201761596155,61.12668310051755,401.81858536788775,104.1399408468708,0.0064748830305704,804.7259347032904,1323.8208037190427,1614.0528534350526
Lithuania,2008,585.722183673761,23838.9569497387,213.41506154307865,58.93795029533691,302.80798401006274,96.8065457708804,0.0064908310705081,633.9605548949752,1325.655543873779,1548.284797245785
Lithuania,2009,468.7718511023394,22293.637403181896,196.72099736318103,57.30634346585977,223.00296349220417,81.28016285092981,0.005515113503779,479.2333365087966,1261.5112104692666,1438.9072946820454
Lithuania,2010,439.2892586514683,22759.895582619007,199.5925476200285,61.89176301241507,192.09973723183705,75.65667183373765,0.0054167519530467,422.76862225256286,1243.799549757075,1464.6835663463578
Lithuania,2011,401.843521003092,22679.12203317919,200.4808375594876,60.942253080743285,183.3848453893151,71.59111678193158,0.0060670127491225,404.1263129057053,1219.884536945841,1471.8043371011358
Lithuania,2012,366.9733448450776,22476.085264636935,218.16671707610791,61.55117028060171,186.96607772078735,72.90011074355667,0.0055180231985684,399.3900634722895,1169.6663731562878,1449.6322510893697
Lithuania,2013,361.58814838481624,22718.810263549127,231.55326318828517,59.656878707850666,173.29323450005433,75.52941640124399,0.0054889776891342,368.90024967009856,1195.6181022476494,1452.2329827918695
Lithuania,2014,346.375603963365,22023.82636993193,257.32590397923747,62.43196243989683,164.62521784105502,76.7272794664338,0.0053013666801595,346.9699985936608,1096.498980270457,1429.4793046097866
Lithuania,2015,331.31913932433883,22593.13013764792,309.0284980378142,65.91189568546679,150.61008283544857,79.37458709082985,0.0053521806073717,322.7796166890186,1050.1260510205511,1429.7988021406536
Lithuania,2016,307.40380309255073,22477.348451952003,363.33672053845504,71.25212976753198,134.4356067524034,78.56786371187897,0.0048243407299415,290.2126360073631,994.4723146698192,1415.0236031563416
Lithuania,2017,279.75598574416756,21433.980845140708,449.8603030144525,70.04202529012042,124.6645592330838,69.99095000709099,0.0044880977987465,263.3520517710044,881.814582815008,1312.6703409838976
Lithuania,2018,263.99510409085104,21073.47325425588,521.713478488156,72.06733520625733,118.25559900890046,66.96222765362818,0.0045064530783029,248.51649851243232,831.1511747497407,1321.3308314136152
Lithuania,2019,265.1850823808991,20514.46362578142,570.5899361180179,75.63371689821335,117.5440981910839,63.88557990656146,0.0039414087082465,240.2949427792209,791.4328386002576,1345.7740585828367
Lithuania,2020,266.1403194929212,20259.730986332634,571.0928476959492,75.93976222405357,113.44612228982253,63.32066422545469,0.0036285540112482,231.81079063103536,775.5802400956593,1366.8826554452153
Lithuania,2021,259.6833469352535,20227.393118953125,567.8164822718715,74.96868174104382,112.57198415321614,66.18449755760032,0.0036117337286188,227.07671422423405,761.4044696796711,1329.6512649342187
Luxembourg,1980,18.54839197746885,1918.597478050912,81.89018776325481,9.030673676488178,51.977420977959895,3.177707054276671,0.0014283621238383,99.38818241041216,72.0119457989772,223.7148423724776
Luxembourg,1981,18.389569850067165,1921.040531014813,77.93898548686188,9.000244234270813,51.93754620268045,3.3733314912763035,0.001583464842094,98.1036850556558,75.718204392197,231.7366069951506
Luxembourg,1982,18.43028124089598,1934.0030534171087,75.5648858745877,9.280466918504668,51.462773641217275,3.411760140444218,0.0015136761884246,96.15630771388508,79.89946658320571,234.47731852110465
Luxembourg,1983,18.044737916588353,1914.6935379707384,76.6894153265844,8.541827850116432,49.30724420221833,3.2551808281486263,0.0011795376384429,91.46421311046277,79.93804200674032,233.58214236398285
Luxembourg,1984,17.31429355730905,1946.150387948803,73.6923697153533,7.944738442772536,48.62555861920485,3.1148313983325626,0.0010363222053375,89.40512934247394,78.67437274546346,238.14151006611092
Luxembourg,1985,16.665465133350153,1907.6729565664057,70.49531277313609,7.692060564799957,46.61717613297006,2.9869433879915306,0.0007953563742418,85.2833592469566,75.88089741765548,237.98753239631284
