measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Finland,Both,All ages,Alcohol use disorders,Number,1995,383.20006789572994,398.1834415670837,369.77643579709405
Deaths,Finland,Both,All ages,Opioid use disorders,Number,1995,139.42800607531106,150.27295514484948,129.48539451115798
Deaths,Finland,Both,All ages,Self-harm,Number,1995,1449.690646457406,1488.8515698919487,1409.8410043159001
Deaths,Poland,Both,All ages,Self-harm,Number,1995,7338.456264983489,7450.074357522758,7215.068870071755
Deaths,Iceland,Both,All ages,Road injuries,Number,1995,24.283237806837374,25.44940053084579,22.99386433942729
Deaths,Iceland,Both,All ages,Motor vehicle road injuries,Number,1995,18.108841944367434,18.964995585133106,17.196708404255773
Deaths,France,Both,All ages,Motor vehicle road injuries,Number,1995,4666.03304151023,4819.850846001891,4503.05041988805
Deaths,Latvia,Both,All ages,Opioid use disorders,Number,1995,44.09079143719555,50.60315955178961,38.24254087506722
Deaths,Latvia,Both,All ages,Self-harm,Number,1995,1148.9275821088495,1197.2982084092787,1102.5414708722242
Deaths,Japan,Both,All ages,Cardiovascular diseases,Number,1995,286196.7948025481,302804.4305534902,253830.7450326272
Deaths,Czechia,Both,All ages,Cardiovascular diseases,Number,1995,63004.730276006194,64988.849541206335,59876.611541152706
Deaths,Lithuania,Both,All ages,Motor vehicle road injuries,Number,1995,273.7891275396647,288.87420103566774,260.01961698036797
Deaths,Germany,Both,All ages,Cardiovascular diseases,Number,1995,402755.6095102558,422471.2986417331,363435.7361777226
Deaths,Ireland,Both,All ages,Cardiovascular diseases,Number,1997,13071.415916133421,13579.68073615225,12089.049624420479
Deaths,United States of America,Both,All ages,Road injuries,Number,1995,47271.22456770363,47944.779538728944,46362.56340556611
Deaths,United States of America,Both,All ages,Motor vehicle road injuries,Number,1995,35554.82624802297,36080.853117349216,34864.32096562113
Deaths,Czechia,Both,All ages,Road injuries,Number,1995,1619.70715883399,1683.9082352921612,1558.3251996795782
Deaths,Czechia,Both,All ages,Motor vehicle road injuries,Number,1995,859.55145737295,903.1102949682404,816.7624935535406
Deaths,Estonia,Both,All ages,Alcohol use disorders,Number,1997,293.2132594779627,308.343916413476,277.41752779471096
Deaths,Israel,Both,All ages,Liver cancer due to alcohol use,Number,1997,36.508938290985526,48.86023255500585,26.425454041649115
Deaths,Israel,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,1500.6770693672784,1595.9702184281605,1398.210358715966
Deaths,Israel,Both,All ages,Opioid use disorders,Number,1997,37.0368239973316,40.777629062012046,33.557051986581975
Deaths,Israel,Both,All ages,Diabetes mellitus,Number,1997,2203.927726322253,2335.9417718292166,2020.3275605418487
Deaths,Japan,Both,All ages,Road injuries,Number,1995,15137.625704231737,15472.178289312093,14619.353552837043
Deaths,Czechia,Both,All ages,Liver cancer due to alcohol use,Number,1997,294.85774185023047,356.5959254075271,238.41427679110643
Deaths,Czechia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,6064.955775828141,6385.0613039051095,5773.157450262512
Deaths,Israel,Both,All ages,Police conflict and executions,Number,1997,0.03453356736388548,0.05173909250605766,0.023610857953486074
Deaths,Ireland,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,1695.6408821830364,1782.4521408371716,1597.6710403851857
Deaths,Estonia,Both,All ages,Self-harm,Number,1997,541.4715014691249,567.0066227166044,512.3053050876131
